1,肖申克的救赎,蒂姆·罗宾斯 Tim Robbins /...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
2,霸王别姬,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,http://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
3,阿甘正传,汤姆·汉克斯 Tom Hanks / ...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg
4,这个杀手不太冷,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
5,泰坦尼克号,莱昂纳多·迪卡普里奥 Leonardo...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
6,美丽人生,罗伯托·贝尼尼 Roberto Beni...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
7,千与千寻,柊瑠美 Rumi Hîragi / 入野自由 Miy...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
8,辛德勒的名单,连姆·尼森 Liam Neeson...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
9,盗梦空间,莱昂纳多·迪卡普里奥 Le...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg
10,忠犬八公的故事,理查·基尔 Richard Ger...,http://img3.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg
11,星际穿越,马修·麦康纳 Matthew Mc...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
12,楚门的世界,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
13,海上钢琴师,蒂姆·罗斯 Tim Roth / ...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
14,三傻大闹宝莱坞,阿米尔·汗 Aamir Khan / 卡...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
15,机器人总动员,本·贝尔特 Ben Burtt / 艾丽...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
16,放牛班的春天,热拉尔·朱尼奥 Gé...,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
17,无间道,刘德华 / 梁朝伟 / 黄秋生,http://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
18,疯狂动物城,金妮弗·...,http://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg
19,大话西游之大圣娶亲,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,http://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
